id,label,size,metacluster,metaCLU,x,y,docs_speed_sym,top_terms
14,4 Adolescence * 3 Early Adolescence * Method And Materials,106,17,#28A3D6,2519.533691,-5250.118164,0.065906662,4 adolescence|3 early adolescence|method and materials|2 childhood|2‐ childhood|and materials|3‐ early adolescence|4‐ adolescence|critical literacy < theoretical perspective|critical literacya <a theoretical perspective|1 early childhood|1‐ early childhood|6 adult|teaching strategies < strategy
15,Locomotor Skill * Object Control * Motor Competence,224,0,#D62828,-3530.654297,-3701.198242,0.038411458,locomotor skill|object control|motor competence|fine motor|motor development|test of gross motor development|motor skill program|fundamental movement|fundamental motor skill|movement skill|tgmd 2|gross motor|fms proficiency|gross motor development|guided active play
16,Curriculum Correspondence * Irony Comprehension,92,26,#D628D0,-713.307861,1771.3479,0.031746032,curriculum correspondence|irony comprehension|deductive instruction|grammar teaching|grammar curriculum|grammar instruction|grammar terminology|frequency chart|l1 use|verbal irony|inductive instruction|L1|pronoun se
17,Cross Education * Unilateral Training * Resistance Training,146,0,#D62828,-7924.496094,-2153.122314,-0.046437434,cross education|unilateral training|resistance training|movement cadence|muscle thickness|pennation angle|exercise order|blood flow restriction|recovery interval|elbow flexor|strength training|bench press|one repetition maximum|eccentric torque
18,Aortic Valve * Transcatheter Aortic Valve Replacement,153,6,#BAD628,-10849.92578,2043.789673,-0.052934407,aortic valve|transcatheter aortic valve replacement|mitral valve|congenital heart disease|congenital|heart defect|ventricular septal defect|valve replacement|aortic stenosis|heart valve prosthesis implantation|cardiac surgery|valve academic research consortium|aortic valve stenosis|atrial septal defect
19,Undocumented Student * Undocumented Immigrant * Deferred Action,147,8,#77D628,7687.433594,902.735901,-0.101010101,undocumented student|undocumented immigrant|deferred action|dacamented student|childhood arrival|campus illegality|daca|undocumented migration|non latinx student|anti immigration rhetoric|restrictive law|in state resident tuition|teacher ally|racialized context
20,Random Forest * Decision Tree * Naive Bayes,347,4,#D6AF28,-5501.681152,3160.851318,0.1067836257309941,random forest|decision tree|naive bayes|support vector machine model|feature selection|k nearest neighbor|j48|bagging|educational data mining|gradient boosting|xgboost|data mining model|knn|f1 score|precision|ensemble learning
21,Active Commuting * Cycling * Walkability,203,0,#D62828,-6719.313965,333.25116,0.030241595,active commuting|cycling|walkability|active transport|active healthy kid|school travel|walking|active school travel|active travel|urban school transportation|active transportation|district wide choice|school busing|organized sport|global matrix
22,10 Year Old Student * International Report * Suzhou,11,23,#7728D6,4467.351074,-5284.114258,-0.031545741,10 year old student|international report|suzhou|r and d personnel|global data|15 year old student|corporate r and d|firm behavior|r and d expenditure|less developed country
24,Motor Proficiency * Fine Motor Integration * Manual Dexterity,58,0,#D62828,-5761.696289,-2209.26001,0.067066714,motor proficiency|fine motor integration|manual dexterity|fine motor precision|upper limb coordination|developmental coordination disorder|bilateral coordination|bruininks oseretsky test of motor proficiency|developmental coordination|aiming and catching|movement assessment|manual coordination|running speed
25,Physical Fitness Program * Sit UP * Standing Long Jump,217,0,#D62828,-6893.317383,-2764.859131,-0.020242915,physical fitness program|sit up|standing long jump|sit and reach|pull up|health related fitness|800 m run|fitness level|vital capacity|shuttle run|push up|1000 m run|800 meter run|sit up test|1000 meter run
26,Emotional Intolerance * Attention Demand * Instant Enjoyment,70,8,#77D628,-867.246887,-4126.80127,-0.049209139,emotional intolerance|attention demand|instant enjoyment|situational interest|irrational belief|frustration discomfort|exploration intention|rebt|rational emotive behavior therapy|frustration intolerance|rational emotive occupational health coaching|total interest|discomfort intolerance
27,Resource Type Region * Military Aircraft * Civil Aircraft,91,21,#3328D6,4657.980469,-2046.600586,0.006598845,resource type region|military aircraft|civil aircraft|siberia|far east|ural|siberian university|timber|tomsk institute|ship|siberian branch|tomsk|russian history
28,Elementary Education * Intermediate Grade * Secondary Education,166,8,#77D628,4207.323242,-1342.457764,-0.032954826,elementary education|intermediate grade|secondary education|Middle -school|junior high school|elementary school student|grade 5|mathematics instruction|grade 4|grade 8|grade 6|grade 7|grade 3|mathematics achievement
29,Tonga * Pacific Education * Niue,106,14,#28D6A3,6090.247559,5467.083496,0.032451923,tonga|pacific education|Niue|talanoa|teacher telling|tuvalu|realm nation|pacific learner|solomon island|whole class scaffolding|pasifika education|kiribati|variation of function|fiji
30,Cannabis * Cannabis Use * Marijuana,291,25,#BA28D6,-6777.342773,-1465.263306,-0.022632602,cannabis|cannabis use|marijuana|hallucinogen|grade of first use|marijuana use|substance use|stimulants|marijuana smoking|medical cannabis|psilocybin|substance related disorder|cannabis use disorder|lysergic acid diethylamide|prescription drug misuse
31,Total Distance * External Load * Central Defender,191,0,#D62828,-6621.219238,-896.630432,-0.038670285,total distance|external load|central defender|sprint distance|central midfielder|internal load|forwards|wide midfielder|training load|high speed running|midfielder|soccer|deceleration|perceived exertion|small sided games
32,Work Schedule Tolerance * Personnel Staffing And Scheduling,52,7,#98D628,3263.563477,6820.555176,0.027572816,work schedule tolerance|personnel staffing and scheduling|night float|duty hour|morning shift|night shift|afternoon shift|nurse staffing|duty hour restriction|double shift school|pgy 2 resident|pgy 3 resident
33,Electrocardiography * Electrocardiogram * Implantable,105,6,#BAD628,-11537.24902,369.431366,-0.090702948,electrocardiography|electrocardiogram|implantable|p wave|his bundle pacing|cardiac|intravenous piggyback|qrs complex|conduction system|qt interval|intravenous push|defibrillator|pacemaker|cardiac pacing
34,Antimicrobial Stewardship Program * Anti Bacterial Agent,261,6,#BAD628,-11607.85449,6133.831055,-0.093581284,antimicrobial stewardship program|anti bacterial agent|antimicrobial resistance|antibiotic use|antimicrobial use|penicillin|anti infective agent|antibiotic stewardship program|surgical site infection|antibiotic prophylaxis|antibiotic prescribing|penicillin allergy|fluoroquinolone|surgical wound infection|antibiotic prescription
35,Organic Chemistry Course * Nmr Spectroscopy * Reaction Mechanism,252,20,#283FD6,-4497.200684,4971.131348,-0.014155713,organic chemistry course|nmr spectroscopy|reaction mechanism|green chemistry metric|electrophiles|organic synthesis|nuclear magnetic resonance|i.r. spectroscopy|multicomponent reaction|atom economy|1H NMR|organic laboratory|process mass intensity|nmr|nucleophile
36,C4 Level * Trinity Ise II * Cambridge Fce,80,16,#28C5D6,3199.16626,-5400.524902,0.067837191,c4 level|trinity ise ii|cambridge fce|c5 level|c6 level|cefr|language certificate|common european framework|c3 level|turkish teaching|c1 level|decoding training|b2 level
37,Long Semester Potentiation * Neuronal Plasticity * Synapsis,309,25,#BA28D6,-13247.82031,-1801.587524,-0.219381232,long semester potentiation|neuronal plasticity|synapsis|synaptic plasticity|n methyl d aspartate|dendritic spine|mouse|nmda receptor|hippocampal|ampa|ampa receptor|pyramidal cell|ca1 region|inbred c57bl|knockout
38,Anthropological Theory * Study And Research Path,96,21,#3328D6,3651.103516,-1244.247314,-0.115642295,anthropological theory|study and research path|anthropological theory of the didactic|mathematical meme|out of school culture|micro level facilitator|praxeologie|logos block|praxeological analysis|mathematical organization|praxis block|production phase|geogebra applet
39,Gratification Theory * Live Coding * Tension Release,66,21,#3328D6,2249.336914,-3420.192383,0.1204146730462519,gratification theory|live coding|tension release|emotional connectedness|binge watching|netflix|livestreaming|peppa pig|personal recognition|example helper|affective motivation|open ended programming|personal integration
40,Paradigm Rivalry * Coaching Interface * Union Role,49,12,#28D660,224.549881,-731.903442,-0.053859701,paradigm rivalry|coaching interface|union role|subjectivity formation|career identity|new thinking|work psychology|antagonism|work demands|psychologist training|organizational psychology|20th century
41,Detection Limit * Electrochemical Sensor * Cyclic Voltammetry,120,20,#283FD6,-5355.518555,6359.806152,-0.055370986,detection limit|electrochemical sensor|cyclic voltammetry|dyslexia biomarker|14 channel|qeeg data|differential pulse voltammetry|screen printed electrode|biomarker detection|carbon paste electrode|electrochemical impedance|biosensor|nanocomposite|potentiostat
42,Tolerant Belief * 14 Item Resilience Scale,49,8,#77D628,7664.42041,2353.589844,-0.045989905,tolerant belief|14 item resilience scale|attitudes towards diversity|hostile sexism|benevolent sexism|violence justification|sexist belief|rejection of violence|violent attitude|ambivalent sexism|collective resource|university of jaen
43,Alternative Boundary * White Non White Segregation,189,15,#28D6C5,5404.504395,2870.501953,0.010380623,alternative boundary|white non white segregation|school desegregation|public dashboard|culturally competent leadership|school segregation|attendance boundary|socioeconomic balance|redistricting|neighborhood segregation|racial balance|racial segregation|residential segregation|organizational equity|integration goal
44,Cognitive Proximity * Organizational Proximity,42,8,#77D628,8311.074219,4567.986816,0.1901713424967049,cognitive proximity|organizational proximity|proximity dimension|multidimensional proximity|institutional proximity|social proximity|geographical proximity|performative inquiry|collective embodiment|synchronous classroom|cultural proximity|political center
45,Literacy Movement * Reading Corner * School Literacy,100,1,#D64A28,1203.194458,-8502.350586,-0.059514487,literacy movement|reading corner|school literacy|literacy culture|reading interest|habituation stage|school literacy movement|literacy program|library visit|reading literacy|generic science|gls program|literacy activity|literacy improvement
46,Mathematically Intensive Field * Egalitarian Goal,75,8,#77D628,4419.029297,3991.797119,0.2157894736842105,mathematically intensive field|egalitarian goal|admitted applicant|major preference|college exposure|Wellesley College|enrollee|preference belief|negative selection|economics degree|wage information|women's colleges|female instructor
47,Frequent Ict Use * Goal Oriented Use * Weaker Performance,171,23,#7728D6,3267.208252,-5204.780762,-0.045859708,frequent ict use|goal oriented use|weaker performance|ict availability|self directed use|cultural status|disciplinary climate|ict use|collaborative problem solving|pisa 2015|valuing teamwork|self rating questionnaire|pisa index|valuing relationship
48,Developmental Education * College Level Math,253,8,#77D628,6359.773926,1570.713013,0.069898138,developmental education|college level math|remedial mathematics|developmental studies program|developmental math|ab 705|dana center|active problem solving|remedial instruction|multiple measures assessment|transfer level course|college level course|nonexempt student|transfer level math|placement test
49,Historical Thinking * Historical Schemas,155,17,#28A3D6,7359.001953,-1665.413086,-0.090750436,historical thinking|historical schemas|extemporaneous writing|cross curriculum priority|history instruction|history content|text based writing|history teaching|historical consciousness|inquiry strategy|sourcing|secondary history|history education|historical reasoning
50,Genomic Network * Epigenetic Imprinting * Cancer Model,62,27,#D628AF,2063.083496,-1572.178345,-0.018076645,genomic network|epigenetic imprinting|cancer model|clonal evolution|somatic cell|genetic diversity|mitosis|chromosome|ecological diversity|sex matching|probabilistic understanding|eye color|phenotypes
51,Gut Microbiota * Gastrointestinal Microbiome * Probiotic,170,12,#28D660,-8991.742188,6341.539551,0.004966887,gut microbiota|gastrointestinal microbiome|probiotic|16s rrna|ribosomal|16s|Bifidobacterium|gut microbiome|short chain fatty acid|lactobacillus|alpha diversity|microbiota|prebiotic|gut brain axis
52,Nitrogen Removal * Microbial Community * Proteobacteria,192,12,#28D660,-9102.44043,6977.503906,-0.091263472,nitrogen removal|microbial community|proteobacteria|bacterial community|high throughput sequencing|Actinobacteria|anammox|firmicute|microbial diversity|bacterial diversity|denitrification|bacteroidete|fungal community|anammox bacterium|Phosphorus removal
53,Klebsiella Pneumoniae * Microbial Sensitivity Test,422,6,#BAD628,-11482.58496,6416.720215,-0.109473684,klebsiella pneumoniae|microbial sensitivity test|beta lactamase|antimicrobial susceptibility|escherichia coli|carbapenem resistance|pseudomonas aeruginosa|antibiotic resistance|carbapenems|antibiotic susceptibility|acinetobacter baumannii|multidrug resistant|gram negative bacterium|multidrug resistance|drug resistance|bacterial
54,Acute Myeloid Leukemia * Venetoclax * Leukemia,200,6,#BAD628,-12489.85059,5536.05957,-0.097765363,acute myeloid leukemia|venetoclax|leukemia|bone marrow|chronic lymphocytic leukemia|chronic gvhd|immunophenotyping|acute gvhd|complete remission|leukemia free survival|allogeneic transplantation|non relapse mortality|haploidentical donor|chronic myeloid leukemia|relapse incidence
55,Estradiol * Estrogen * Testosterone,114,25,#BA28D6,-13136.71484,3123.010254,0.000608643,estradiol|estrogen|testosterone|estrogen receptor|progesterone|triple negative|luminal b|luminal a|erα|sex hormone|progesterone receptor|estrous cycle|follicular phase|gonadal steroid hormone
56,Caucasus Educational District * Russian Empire,186,21,#3328D6,5646.833496,-3751.529541,-0.096325167,caucasus educational district|russian empire|caucasian educational district|public education system|Ministry of Public Education|elisabethpol governorate|period 1868 1917|social estate|education in astrakhan governorate|astrakhan governorate|baku governorate|pedagogical periodical|period 1860a€“1917|period 1860 1917|library holding
57,Multi Service Schooling * Oversight Measure * Non White Pupil,52,10,#33D628,6188.06543,299.468323,-0.235027223,multi service schooling|oversight measure|non white pupil|racial assumption|forced remote learning|savagery|Danish welfare|non white group|private schooling|welfare evaluation|market control|local school board
58,Respiratory Syncytial Virus * Respiratory Virus * Rhinovirus,112,6,#BAD628,-11805.27051,3035.442383,0.1078981441519205,respiratory syncytial virus|respiratory virus|rhinovirus|influenza virus|intravenous contrast|lung anatomy|high resolution computed tomography|ground glass|enterovirus|respiratory tract infection|technological mechanism|human metapneumovirus|respiratory syncytial virus infection|medical image analysis
59,Contributory System * Pre Colonial Era * 1980s,43,8,#77D628,7749.46875,2392.808105,-0.03064275,contributory system|pre colonial era|1980s|economic empowerment|irish free state|1930|1940|cooperative society|1960|1970s|1920s|school cooperative
60,First Great Migration * Schooling Investment * 1940 Census,70,7,#98D628,3541.455322,-4502.893555,0.090759076,first great migration|schooling investment|1940 census|push out rate|portuguese descent|spanish descent|black migrant|place effect|poorer county|black youth|latinx youth|relational event|great migration
61,Pancasila * Civilized Humanity * Just Humanity,78,21,#3328D6,4169.272949,-6944.623535,-0.115326252,pancasila|civilized humanity|just humanity|suku|1945 constitution|NKRI|ra’|dasar negara|budaya|unitary state|indonesian unity|profil|second principle
62,1994 Curriculum * Curriculum 1975 * Curriculum 1984,37,17,#28A3D6,3995.241455,-1759.201782,0.071428571,1994 curriculum|curriculum 1975|curriculum 1984|1947 curriculum|1952 curriculum|1964 curriculum|curriculum 2004|1968 curriculum|curriculum 2006|kbk|new order|old order
64,Pupil Organization * Student Movement * Peoplea€tms University,143,17,#28A3D6,6565.219238,2858.041992,-0.039021549,pupil organization|student movement|peoplea€tms university|collective protest|pupil council|people's university|student uprising|racialized comparison|people's universities|student activism|feesmustfall|rhodesmustfall|teacher activism|student protest
65,Learning Environment Atmosphere * Socio Family Variable,97,15,#28D6C5,5090.914062,-1553.642822,-0.073265886,learning environment atmosphere|socio family variable|mother influence|societal variable|home variable|moroccan educational system|affective family support|classroom variable|adolescent protection|protection coordinator|family variable|welfare coordinator|public secondary education
66,Nomophobia * Smartphone Addiction * Nomophobia Questionnaire,143,23,#7728D6,-5403.489258,761.324036,-0.137582195,nomophobia|smartphone addiction|nomophobia questionnaire|mild nomophobia|moderate nomophobia|mobile phone addiction|severe nomophobia|smartphone addiction scale|laptop|smartphone use|problematic smartphone use|smartphone|smartphone usage|k2
67,Bardin's Theory * Logic Block * Input Speed,22,24,#9828D6,625.14563,-8349.859375,0.087507155,bardin's theory|logic block|input speed|japanese input|keyboard skill|adapted games|geoboard|1:1 device|diversified strategy|tangram|4th grade
68,Reading Fluency * Oral Reading * Reading Comprehension Strategy,195,1,#D64A28,2486.911621,-10179.5,0.041383701,reading fluency|oral reading|reading comprehension strategy|reading rate gain|reading speed|reading rate|decoding|repeated oral reading|reading instruction|repeated reading|reading difficulty|reading accuracy|systematic synthetic phonic|timed reading|reading intervention
69,E Portfolio * Eportfolio * Personalized Learning Strategy,105,13,#28D682,2645.306396,-1871.276245,0.1372040220564385,e portfolio|eportfolio|personalized learning strategy|knowledge dimension|institution expectation|electronic portfolio|Portfolios (Background Materials)|skills dimension|personal introduction|attitude dimension|hc assessment|1:1 program|student consumerism|portfolio assessment
70,Engineering Education Course * Sustainable Mining,93,3,#D68D28,2627.521973,2013.406494,0.039832285,engineering education course|sustainable mining|engineering design course|global sociotechnical competency|geoexplorer|field session|under resourced setting|cone penetration testing|civil engineering program|electrical engineering course|mechanical engineering curriculum|engineering design process|computer engineering
71,Convolutional Neural Network * VGG16 * Lstm,193,4,#D6AF28,-5507.728516,942.321899,-0.010400181,convolutional neural network|VGG16|lstm|deep learning|resnet50|long short semester memory|resnet|recurrent neural network|inceptionv3|XCeption|neural network|cnn|alexnet|VGG19|fully connected layer
72,Computerized Adaptive Testing * Item Response Theory,292,26,#D628D0,-3270.391113,-6761.793945,-0.076523995,computerized adaptive testing|item response theory|item parameter|test length|item selection|adaptive testing|ability estimation|simulation study|radar target|linking method|3pl model|item calibration|item bank|discrimination parameter|irt model
73,Networking Development * Pisa Instrument * Unesco Indicator,42,4,#D6AF28,1131.509155,6874.485352,-0.028616852,networking development|pisa instrument|unesco indicator|collegiate learning|compound interest|prevention cycle|knowledge capital|financial mathematics|humanistic literacy|simple interest|special contingent|innovative product
74,Null Subject * Subject Realization * Overt Subject,51,15,#28D6C5,1223.3125,-7156.714355,-0.253283302,null subject|subject realization|overt subject|referring expression|1st person|spss29|topic continuity|null subject language|overt pronouns|q1 scopus|givenness|2nd person
75,Cannabinoid * Endocannabinoid * Cb1,92,25,#BA28D6,-11764.19531,-2812.378174,-0.079844206,cannabinoid|endocannabinoid|cb1|cb1 receptor|endocannabinoid system|cannabinoid receptor|fatty acid amide hydrolase|anandamide|dronabinol|arachidonic acid|cb2 receptor|2 arachidonoylglycerol|cannabidiol
76,Transcranial Direct Current Stimulation,183,25,#BA28D6,-9570.339844,-1970.325439,-0.048648649,transcranial direct current stimulation|transcranial magnetic stimulation|motor cortex|motor evoked potential|dorsolateral prefrontal cortex|anodal tdcs|motor|tdcs|primary motor cortex|anodal stimulation|corticospinal excitability|double blind method|repetitive transcranial magnetic stimulation|brain stimulation|motor sequence
77,Prenatal Diagnosis * Trisomy 13 * Trisomy 18,60,8,#77D628,-898.690369,-830.645325,0.2965686274509804,prenatal diagnosis|trisomy 13|trisomy 18|22q11|trisomy 13 syndrome|2 deletion syndrome|22q11.2 deletion syndrome|trisomy|chorionic villus sampling|prenatal testing|amniocentesis|trisomy 21|aneuploidy
78,Social Robot * Human Robot Interaction * Humanoid Robot,122,5,#D6D028,-2951.504883,7266.799316,0.081220603,social robot|human robot interaction|humanoid robot|rigging bone|2 dimensional model|companion robot|child robot interaction|nao robot|video resolution|educational robot|socially assistive robot|social robotic|learning companion|open source module
79,Biospheric Value * Environmental Attitude,118,2,#D66B28,1145.658691,4311.781738,-0.163378408,biospheric value|environmental attitude|awareness of consequence|altruistic value|ascription of responsibility|personal norm|egoistic value|pro environmental behavior|New Ecological Paradigm|norm activation model|value belief norm theory|environmental behavior|eco crisis|norm activation
80,Hand Hygiene * Cross Infection * Infection Control Guideline,165,0,#D62828,-9363.745117,5125.000488,0.2163742690058479,hand hygiene|cross infection|infection control guideline|healthcare associated infection|standard precaution|infection prevention|disinfection|hand hygiene compliance|rigor of development|agree ii|guideline adherence|alcohol based hand rub|hand hygiene practice|guideline appraisal
81,Magdm * Multiple Attribute Group Decision Making,84,13,#28D682,-2025.441895,1610.169189,0.2786316311353495,magdm|multiple attribute group decision making|interval valued intuitionistic fuzzy number|exptodim|ivifss|interval valued intuitionistic fuzzy set|mabac|exponential todim|multiple attribute decision making|entropy model|fuzzy data|multiple attribute|attribute weight
82,Credentialed Individual * Master's Completion * Prior Employment,49,30,#D6284A,3752.685059,2146.734131,0.077017868,credentialed individual|master's completion|prior employment|associate instructor|remote education tutor|dialectical interplay|postsecondary data|occupational invisibility|2 year college|spectrum based fault localization|fault localization|geographically isolated
83,Alumni Dispersion * Metro Area * IN State,71,13,#28D682,9471.540039,-1002.986938,-0.23553719,alumni dispersion|metro area|in state|social return|inadequate funding|brain drain|infrastructural facility|2 year institution|strike action|geographic dispersion|4 year institution|brain circulation|migration pattern
84,Rsrp * Sinr * Drive Test,208,3,#D68D28,-3640.192383,1379.090576,0.016552511,rsrp|sinr|drive test|4g lte|ss rsrp|ss sinr|RSRQ|telkomsel|urban macro|outdoor to outdoor|propagation model|signal strength|coverage planning|network quality|path loss model
85,Dry Eye * Ocular Surface * Computer Vision Syndrome,131,28,#D6288D,-8018.236816,-945.189148,-0.08972332,dry eye|ocular surface|computer vision syndrome|dry eye disease|ocular surface disease index|tear film|contact len|dry eye syndromes|osdi questionnaire|digital eye strain|osdi|eye redness|burning eye|blurred vision
86,Body Composition * Body Mass Index * Waist Circumference,304,16,#28C5D6,-9588.917969,207.415405,0.014820214,body composition|body mass index|waist circumference|fat mass|overweight|obesity|sarcopenia|waist to height ratio|body fat|muscle mass|waist to hip ratio|bioelectrical impedance|fat free mass|arm circumference|hip circumference
87,Countermovement Jump * Vertical Jump * Jump Height,228,0,#D62828,-6780.474609,-2482.951904,0.013333333,countermovement jump|vertical jump|jump height|peak power|squat jump|fatigue index|mean power|change of direction|wingate test|plyometric training|anaerobic power|sprint test|leg muscle|drop jump|explosive strength
88,Vo2max * Oxygen Consumption * High Intensity Interval Training,169,0,#D62828,-8980.323242,-2801.098877,0.008088979,vo2max|oxygen consumption|high intensity interval training|attention stability|blood lactate|ventilatory threshold|oxygen uptake|aerobic capacity|hiit|interval training|aerobic energy|CrossFit|rowing ergometer|anaerobic threshold
89,Post Traumatic * Stress Disorder * Posttraumatic Stress,161,29,#D6286B,-6055.433594,-3407.662354,0.090143003,post traumatic|stress disorder|posttraumatic stress|ptsd symptom|ptsd|posttraumatic stress disorder|trauma film|post traumatic stress disorder|post traumatic stress|intrusive memory|avoidance symptom|2003 2011|cptsd symptom|afghan campaign 2001
90,Criminal Proceeding * Sanctioning Law * Participatory Context,229,29,#D6286B,874.742432,2286.356201,-0.163238423,criminal proceeding|sanctioning law|participatory context|pre trial investigation|criminal law|penal process|disciplinary law|criminal code|criminal procedure|critical context|criminal procedure code|criminology|criminal liability|preventive detention|presumption of innocence
91,Top Performing School * Timss Test * Archivology,92,0,#D62828,-1057.314453,248.524384,0.004524887,top performing school|timss test|archivology|active contextualization|2012 reform|information concept|socio economic deprivation|scientific context|computational shortcuts|information approach|international test|habit of mind|statistical graph
92,Ministerial Speech * Policy Moment * Policy Historiography,67,17,#28A3D6,3356.956055,-1117.8125,0.3597444089456869,ministerial speech|policy moment|policy historiography|ite policy|commonwealth government|settlement policy|intra mathematical|policy problem|designed resource|singaporean textbook|initial teacher|Knowledge about language|policy solution
94,Metaverse * Metaverse Platform * Personal Motivation Processes,95,4,#D6AF28,-2922.790527,5975.947754,-0.331094694,metaverse|metaverse platform|personal motivation processes|positive factor|second life|metaverse education|multi user virtual environment|avatar|55|metaverse technology|edu metaverse|sustainability hub|educational metaverse
95,Quasi Symmetry * Hamiltonian Cycle * Girard's Theorem,16,1,#D64A28,-4038.450439,5218.07373,0.055068836,quasi symmetry|hamiltonian cycle|girard's theorem|great circle|external anatomy|intermediate value theorem|platonic solid|spherical geometry|creative artist|duality
96,Seroprevalence * Antibodies * Seroepidemiologic Study,208,6,#BAD628,-11635.2168,3209.952393,0.005990074,seroprevalence|antibodies|seroepidemiologic study|igg antibodies|antibody titer|toxoplasmosis|antibody level|seropositivity|immunoglobulin g|toxoplasma gondii|mrna vaccine|antibody response|viral|sars cov 2 antibodies|igm antibodies
97,Law Abidance Leadership * Subjective Outcome Evaluation,16,9,#55D628,-2969.637695,413.086334,0.061604585,law abidance leadership|subjective outcome evaluation|hong kong national security law|national security law|law abidance|objective outcome evaluation|subjective outcome|one country two systems|objective outcome|service recipient
98,General Election * Electronic Voting * Voter Turnout,191,17,#28A3D6,8570.104492,1583.000366,-0.217352035,general election|electronic voting|voter turnout|Pakatan Harapan|school board election|perikatan nasional|political parties|election|malay voter|voting|voter registration|school bond|Barisan Nasional|new patriotic party|contested election
99,Literacy Partnership * Keyboarding Skill * Conference Anthology,85,27,#D628AF,427.627655,-3944.936035,-0.076203209,literacy partnership|keyboarding skill|conference anthology|empowered receiver|national graduate school|reading dilemma|early years learning framework|2020s education|viewing|diverse text|guest professor|research based knowledge|oracy
101,Pathway Modeling * Instructional Complexity * Course Pathway,23,5,#D6D028,-6403.629395,3332.719727,0.3576327383385566,pathway modeling|instructional complexity|course pathway|co instructor|classroom innovation|curriculum mapping|staged approach|applied sociology|theoretical sociology|marketing classroom|sociology department
